algo,score,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_60k@60k
td3,0.896023130808787,1000.0,-161.95625762939454,0.06642998978419039,1.0000198364257926
sac,0.8957519126762788,1200.0,-162.19973449707032,0.20191177578841107,0.4466445922851676
ddpg,0.8931214533061311,1600.0,-162.5599807739258,0.07401461612402337,1.896562194824213
tqc,0.8723824209122873,6400.0,-162.3263946533203,0.015119670451925405,1.747697448730463
dpg,,,,,
ppo,,,,,
reinforce,,,,,
trpo,,,,,
