algo,score,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_10k@10k
trpo,0.9006937268957366,0.0,-43924.3515625,0.006146246337890624,0.7292968749970896
ppo,0.9000471005099361,0.0,-43924.3515625,26.876129023742674,10.61601562499709
dpg,0.9000377305353342,0.0,-43843.459375,20.225161127471925,-13.252734375004366
tqc,0.8973089191509415,1500.0,-43915.60625,4434.690419553869,592.8617187499985
sac,0.8893314272288259,6000.0,-43923.639453125,27524.90700753212,148.63320312499854
ddpg,,,,,
reinforce,,,,,
td3,,,,,
