algo,score,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_10k@10k
ddpg,0.8982171084499191,1000.0,-43657.00703125,23.56225529988607,-37.0
td3,0.8982052609041505,1000.0,-43530.494140625,109061.49606771002,-299.744140625
tqc,0.8964156725549958,2000.0,-43630.987109375,1202.8796997594832,375.97265625
dpg,0.8841087929396759,9000.0,-43673.85625,225.10736709594724,-22.372656250001455
ppo,,,,,
reinforce,,,,,
sac,,,,,
trpo,,,,,
