algo,score,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_60k@60k
tqc,0.9208981141761035,1800.0,-0.12481632232666015,2.2177175786932206e-06,0.07836777791380882
ddpg,0.9051455360873644,1400.0,-0.13250208646059036,1.129415851744508e-05,0.07168791070580482
sac,0.8932481547483906,3800.0,-0.23684930354356765,0.11946299344548823,0.049855935201048834
dpg,0.8916299859027146,5800.0,-0.22424352690577506,0.22897859126293693,-0.02942179441452028
ppo,,,,,
reinforce,,,,,
td3,,,,,
trpo,,,,,
