algo,score,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_10k@10k
ddpg,0.8982338250330397,1000.0,-43677.612890625,22.861953581915955,-16.53984374999709
td3,0.8982038132679593,1000.0,-43467.246875,593771.668103803,-2268.051953125003
dpg,0.8965017531682417,2000.0,-43690.869921875,18.3362482175827,-5.720312500001455
tqc,0.8964170200953588,2000.0,-43426.6671875,594.4931149320602,186.74960937500146
sac,0.8910907698531653,5000.0,-43672.632421875,1769.7565344467162,301.0390625
ppo,,,,,
reinforce,,,,,
trpo,,,,,
