algo,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_60k@60k,abs_diff_from_60k@60k,final_score
td3,1200.0,-161.32779388427736,0.03764481441291179,0.6298126220703182,0.6298126220703182,15.0
sac,1400.0,-161.67024841308594,0.05966756649336811,0.3039947509765568,0.3039947509765568,16.0
dpg,17200.0,-162.53430786132813,0.310565329900155,1.1340591430664233,1.1340591430664233,30.0
tqc,27000.0,-162.39795684814453,0.013560548923436947,1.9284439086914062,1.9284439086914062,31.0
avg,23600.0,-162.3838882446289,0.8775588219883124,1.6042236328125057,1.6042236328125057,33.0
ddpg,,,,,,
ppo,,,,,,
reinforce,,,,,,
trpo,,,,,,
