algo,score,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_60k@60k
td3,0.8946454069978421,1400.0,-2.5462347626686097,0.005172084318022352,0.5605718731880189
ddpg,0.8943031592669193,1600.0,-2.433387517929077,0.004661132246803449,0.3483617901802063
tqc,0.893326410087684,1600.0,-2.668101596832275,0.0022894821913439045,1.1174976468086242
ppo,0.8764541290854259,5400.0,-2.160385513305664,215.06792797493418,-4.337347402184969
avg,0.8681383175565882,7400.0,-2.6971057549118997,78.29357035999392,-1.9985765568912024
dpg,0.8529329062087084,11400.0,-2.486749029159546,0.08261702687508327,0.34109048843383816
trpo,0.8490651259222423,12000.0,-2.645751804113388,644.89580707851,-58.67118362989277
reinforce,,,,,
sac,,,,,
