algo,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_10k@10k,abs_diff_from_10k@10k,final_score
td3,1000.0,-43846.64609375,18.82027902052137,-2.090234374998545,2.090234374998545,5.5
dpg,5000.0,-43850.414453125,17.349492578125002,-10.232421875,10.232421875,9.5
ppo,1000.0,-43883.966796875,15356.851234864971,-5.6953125,5.6953125,10.5
tqc,3500.0,-43426.294921875,1165.6636112142708,125.27617187499709,125.27617187499709,13.0
sac,5000.0,-43474.537890625,1822.043624934387,-626.2761718750044,626.2761718750044,17.5
trpo,6000.0,-43899.57734375,71.69931846809388,-23.57109374999709,23.57109374999709,24.0
avg,500.0,-43875.344921875,17258728.203473862,-434.1910156249942,434.1910156249942,24.0
ddpg,,,,,,
reinforce,,,,,,
