algo,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_60k@60k,abs_diff_from_60k@60k,final_score
tqc,1600.0,-2.1964402198791504,0.0022817043447415117,0.6490425825119019,0.6490425825119019,8.0
ddpg,1200.0,-2.466593873500824,0.004478331483648339,0.3227664828300476,0.3227664828300476,14.5
td3,1200.0,-2.4859655618667604,0.005670108810389477,0.45424427986145055,0.45424427986145055,17.5
dpg,7800.0,-2.4696839690208434,0.2227786189589502,0.3779523849487303,0.3779523849487303,30.0
ppo,8400.0,-2.5689307928085325,365.2862145934943,2.538315450306982,2.538315450306982,35.0
reinforce,,,,,,
sac,,,,,,
trpo,,,,,,
avg,,,,,,
