algo,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_60k@60k,abs_diff_from_60k@60k,final_score
tqc,1600.0,-2.1339282512664797,0.0026511986994433136,0.5866330265998843,0.5866330265998843,7.0
ddpg,1200.0,-2.1819772958755492,0.004168218773890924,-0.0022856950759888583,0.0022856950759888583,15.0
td3,1400.0,-2.0952210307121275,0.003734267413100163,-46.09718527793885,46.09718527793885,18.0
dpg,11200.0,-2.652343583106995,0.008337326239577293,0.5606119990348817,0.5606119990348817,30.0
ppo,,,,,,
reinforce,,,,,,
sac,,,,,,
trpo,,,,,,
avg,,,,,,
