algo,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_60k@60k,abs_diff_from_60k@60k,final_score
tqc,1600.0,-2.5203006267547607,0.0022716776806485763,0.9730054020881653,0.9730054020881653,6.0
ddpg,1200.0,-2.506489872932434,0.00433118834939272,0.322226881980896,0.322226881980896,14.0
dpg,7800.0,-2.4696839690208434,0.2227786189589502,0.3779523849487303,0.3779523849487303,28.0
ppo,12000.0,-2.5023480534553526,0.4254729995226721,2.476892449869774,2.476892449869774,32.0
avg,16400.0,-2.0541163578629495,130.95233661216693,-5.7007836401462555,5.7007836401462555,35.0
reinforce,,,,,,
sac,,,,,,
td3,,,,,,
trpo,,,,,,
