algo,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_60k@60k,abs_diff_from_60k@60k,final_score
ddpg,1600.0,-0.08988756388425827,2.7778070161546787e-05,0.026838817447423932,0.026838817447423932,6.0
dpg,800.0,-0.21698815375566483,0.0006886763981156705,0.1443475976586342,0.1443475976586342,8.0
tqc,2000.0,-0.16073596924543382,2.1002618351857672e-06,0.11511275433003904,0.11511275433003904,8.0
avg,1200.0,-0.16108373617753385,0.3805021740949288,-0.48882784210145475,0.48882784210145475,24.0
sac,2800.0,-0.24186035394668579,0.012688795544812169,-0.09605139866471293,0.09605139866471293,31.0
ppo,6000.0,-0.22434013783931733,0.14217408367338308,0.18050689753908955,0.18050689753908955,36.0
trpo,9400.0,-0.2436163319274783,0.6123448992246318,-1.9171714951997276,1.9171714951997276,41.0
reinforce,,,,,,
td3,,,,,,
