algo,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_10k@10k,abs_diff_from_10k@10k,final_score
ddpg,1000.0,-43613.0859375,22.22662970055474,-75.99296874999709,75.99296874999709,4.5
tqc,2000.0,-43637.280859375,894.4953139915465,378.52187499999854,378.52187499999854,10.0
dpg,9000.0,-43665.266015625,213.08449806213375,-16.092187499998545,16.092187499998545,18.0
sac,8500.0,-43741.87265625,17029.758255391436,251.23906250000437,251.23906250000437,21.0
td3,1000.0,-43484.73125,563989.7207480451,-2965.9722656250015,2965.9722656250015,21.5
ppo,,,,,,
reinforce,,,,,,
trpo,,,,,,
avg,,,,,,
