algo,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_10k@10k,abs_diff_from_10k@10k,final_score
dpg,0.0,-43644.429296875,50.59456489944456,-51.16093749999709,51.16093749999709,5.0
ddpg,1000.0,-43638.84921875,30.36289830440945,-53.799218749998545,53.799218749998545,7.5
td3,1000.0,-43622.918359375,8017.251168779159,-248.21718749999854,248.21718749999854,10.5
sac,6500.0,-43666.00078125,11.896605104718889,53.384765625,53.384765625,17.0
ppo,,,,,,
reinforce,,,,,,
trpo,,,,,,
tqc,,,,,,
avg,,,,,,
