algo,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_60k@60k,abs_diff_from_60k@60k,final_score
ddpg,1400.0,-0.08912093043327332,4.879299387663551e-06,0.017042504251003274,0.017042504251003274,6.0
td3,1400.0,-0.09296842813491821,7.813798480985693e-06,0.0325588334351778,0.0325588334351778,8.0
dpg,1200.0,-0.22817407138645648,0.00024193611210317312,0.16863742098212242,0.16863742098212242,10.0
tqc,1800.0,-0.12194767445325852,2.1768170636074592e-06,0.07621610201895238,0.07621610201895238,10.0
avg,1400.0,-0.05084867477416992,0.5959153726194195,0.03550756331533193,0.03550756331533193,22.0
sac,8000.0,-0.22340762317180635,0.0026025743422005846,-0.5876901507377625,0.5876901507377625,27.0
ppo,,,,,,
reinforce,,,,,,
trpo,,,,,,
