algo,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_10k@10k,abs_diff_from_10k@10k,final_score
ddpg,1000.0,-43687.32578125,21.6615450998942,6.705468749998545,6.705468749998545,4.5
dpg,0.0,-43688.586328125,25.748338621520993,7.501562500001455,7.501562500001455,5.0
tqc,2500.0,-43302.46953125,826.6237060536702,88.62109375,88.62109375,10.0
td3,1000.0,-43611.019140625,14632.893592484366,-243.57656249999854,243.57656249999854,11.5
sac,7500.0,-43659.30078125,8120.132936947632,335.33164062500146,335.33164062500146,24.0
ppo,,,,,,
reinforce,,,,,,
trpo,,,,,,
avg,,,,,,
