algo,score,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_60k@60k
ddpg,0.914696508924195,1400.0,-0.09879153594374657,6.797944098555312e-06,0.03677131570875645
td3,0.9123772622735552,1600.0,-0.08293962366878986,0.0003392846056436615,0.025809438154101368
tqc,0.9088362188088636,1800.0,-0.22105100452899934,3.5673907664411954e-06,0.1755539670586586
dpg,0.9003678641145504,600.0,-0.23612178787589072,0.0025804470311952426,0.16445139460265634
sac,0.8922739828314965,3600.0,-0.24872422814369202,0.0008728051682395942,0.061498696729540836
ppo,0.8696466886525177,7200.0,-0.2422994390130043,0.3244030639535049,-0.5430852239805972
reinforce,,,,,
trpo,,,,,
