algo,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_10k@10k,abs_diff_from_10k@10k,final_score
ppo,0.0,-43924.3515625,0.00043205108642578116,0.01718750000145519,0.01718750000145519,3.5
trpo,0.0,-43924.3515625,0.043608908843994126,8.764062499998545,8.764062499998545,5.5
dpg,1500.0,-43828.3,27.794776442583867,-15.933984374998545,15.933984374998545,11.5
tqc,3000.0,-43489.12265625,1159.907605868748,122.61679687500146,122.61679687500146,15.0
sac,1000.0,-43891.22734375,5559130.725308336,493.248046875,493.248046875,23.5
ddpg,1000.0,-43902.740234375,33786058.669926964,-11158.811328124997,11158.811328124997,26.5
td3,1500.0,-43851.35703125,30211205.468924195,-17551.331249999996,17551.331249999996,28.5
reinforce,,,,,,
avg,,,,,,
