algo,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_60k@60k,abs_diff_from_60k@60k,final_score
ddpg,1200.0,-161.0011413574219,0.11919908149160842,-0.4337921142578125,0.4337921142578125,15.0
td3,2000.0,-162.1974838256836,0.06507523226626538,1.4640548706054801,1.4640548706054801,18.0
sac,4000.0,-162.63101501464843,0.27005439068623566,0.7486633300781023,0.7486633300781023,29.0
tqc,8000.0,-162.33849487304687,0.006412884972636729,1.9041656494140682,1.9041656494140682,30.0
dpg,11800.0,-162.42806243896484,0.4379217409967749,0.9937042236328182,0.9937042236328182,33.0
ppo,,,,,,
reinforce,,,,,,
trpo,,,,,,
avg,,,,,,
