algo,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_10k@10k,abs_diff_from_10k@10k,final_score
ddpg,1000.0,-43655.834375,20.087094790988495,-33.244531249998545,33.244531249998545,5.5
tqc,2000.0,-43511.566796875,912.7795071163176,252.80781249999563,252.80781249999563,10.0
dpg,9000.0,-43665.266015625,213.08449806213375,-16.092187499998545,16.092187499998545,18.0
ppo,500.0,-43749.416015625,5528273.132390227,-2848.967578124997,2848.967578124997,20.0
td3,1000.0,-43484.73125,563989.720748045,-2965.9722656250015,2965.9722656250015,21.5
reinforce,,,,,,
sac,,,,,,
trpo,,,,,,
avg,,,,,,
