algo,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_60k@60k,abs_diff_from_60k@60k,final_score
ddpg,1200.0,-161.93224334716797,0.13953053046422487,0.4973098754882699,0.4973098754882699,14.5
tqc,1400.0,-161.6784454345703,0.013840841194702972,1.2441162109375057,1.2441162109375057,18.0
td3,1200.0,-161.8814727783203,0.277787217786842,1.1480438232421761,1.1480438232421761,18.5
sac,5800.0,-162.6427444458008,0.14670743091502464,0.7603927612304631,0.7603927612304631,29.0
avg,52600.0,-162.45779266357422,17.618721889025725,-7.016685485839844,7.016685485839844,35.0
dpg,,,,,,
ppo,,,,,,
reinforce,,,,,,
trpo,,,,,,
