algo,score,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_60k@60k
tqc,0.9201634625011964,1800.0,-0.13086285963654518,2.239422704391869e-06,0.08526543900370598
ddpg,0.8969492647618946,2400.0,-0.0868114709854126,0.0030738303311385476,-0.06574677005410194
dpg,0.8927215910874834,3400.0,-0.24692699685692787,0.008893000454438976,0.06443118229508399
avg,0.8851287113862176,5000.0,-0.24823370426893235,1.0129539265736589e-05,0.23322278987616302
ppo,0.8776546720843439,5200.0,-0.2486132338643074,0.46132436262839155,-1.083232911304367
td3,0.8452313648703408,14200.0,-0.1703070443123579,0.0001779600952202667,0.10835952609777451
sac,0.8034296717290039,25400.0,-0.23485568799078466,0.008526833557149905,-0.10323099233210087
reinforce,,,,,
trpo,,,,,
