algo,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_60k@60k,abs_diff_from_60k@60k,final_score
tqc,1800.0,-0.13076136335730554,2.3271156361847956e-06,0.08513814844191075,0.08513814844191075,7.0
dpg,1200.0,-0.22817407138645648,0.00024193611210317312,0.15553351528942583,0.15553351528942583,9.0
td3,1400.0,-0.08887437283992768,3.955997345184753e-06,-1.9739466279745101,1.9739466279745101,12.0
avg,800.0,-0.17825390994548798,0.745085885212674,-0.47165766833350065,0.47165766833350065,23.0
ddpg,2800.0,-0.09489364139735698,0.1647878735027912,0.031844894960522646,0.031844894960522646,31.0
sac,18600.0,-0.24896976575255395,0.02365974361039789,-0.08894198685884477,0.08894198685884477,34.0
ppo,3400.0,-0.2249803613871336,1.5880868648066255,0.18114712108690584,0.18114712108690584,38.0
reinforce,,,,,,
trpo,,,,,,
