algo,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_10k@10k,abs_diff_from_10k@10k,final_score
td3,1000.0,-43429.978125,2115.931635015699,-441.15742187499563,441.15742187499563,6.5
tqc,3500.0,-43576.217578125,5044.043493512667,-166.99648437500582,166.99648437500582,7.0
ddpg,1000.0,-43379.237890625,18485.633151870727,-313.41054687499854,313.41054687499854,7.5
sac,4000.0,-43684.1953125,2451623.84434457,71.57929687500291,71.57929687500291,19.0
dpg,,,,,,
ppo,,,,,,
reinforce,,,,,,
trpo,,,,,,
avg,,,,,,
