algo,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_60k@60k,abs_diff_from_60k@60k,final_score
td3,1200.0,-161.5020553588867,0.05184296143682653,0.8040740966796704,0.8040740966796704,14.5
tqc,1400.0,-162.1051498413086,0.010047009775183026,1.635636901855463,1.635636901855463,18.0
ddpg,1200.0,-160.98753051757814,0.10490398121256536,-4.806948852539051,4.806948852539051,19.5
sac,3800.0,-162.64724731445312,0.10661798690491127,1.2809936523437386,1.2809936523437386,30.0
avg,40200.0,-162.20117797851563,0.6335837254331498,1.4215133666992301,1.4215133666992301,33.0
dpg,,,,,,
ppo,,,,,,
reinforce,,,,,,
trpo,,,,,,
