algo,score,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_60k@60k
avg,0.9060143496918976,6800.0,-2.6351731419563293,0.9011034646781355,-0.014041737094521611
ddpg,0.8958483003444013,1400.0,-2.3486688137054443,0.004535763695914024,0.23883637189865103
td3,0.8941739375608948,1600.0,-2.355114233493805,0.004725573113876636,0.3827856659889224
tqc,0.8936325735834924,1600.0,-2.2109061598777773,0.0024695879540727965,0.6620899081230165
dpg,,,,,
ppo,,,,,
reinforce,,,,,
sac,,,,,
trpo,,,,,
