algo,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_10k@10k,abs_diff_from_10k@10k,final_score
tqc,4000.0,-43584.40546875,2170.9449140167235,-84.33085937499709,84.33085937499709,7.0
ddpg,1000.0,-43537.26015625,9690.234955811393,-1327.9246093750044,1327.9246093750044,8.5
sac,5500.0,-43640.589453125,4.5263773193359365,18.948046875004366,18.948046875004366,16.0
td3,1000.0,-43630.643359375,637698.4172739342,-988.8050781250058,988.8050781250058,18.5
dpg,,,,,,
ppo,,,,,,
reinforce,,,,,,
trpo,,,,,,
avg,,,,,,
