algo,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_10k@10k,abs_diff_from_10k@10k,final_score
dpg,1500.0,-43860.213671875,17.84967940566119,-0.4332031250014552,0.4332031250014552,6.0
td3,1000.0,-43829.362109375,18.935864833407933,-19.37421875000291,19.37421875000291,7.0
tqc,1500.0,-43818.523828125,12775.018099174948,517.5050781249956,517.5050781249956,13.0
ppo,6500.0,-43884.425390625,901.3859940621509,-5.236718749998545,5.236718749998545,21.0
avg,0.0,-43744.195703125,1708924.1038403637,-565.3402343749985,565.3402343749985,23.0
sac,8000.0,-43876.530078125,256108.58307436365,-224.28398437500437,224.28398437500437,26.0
ddpg,1500.0,-43857.765234375,30758906.358064234,-11883.405468749996,11883.405468749996,28.0
reinforce,,,,,,
trpo,,,,,,
