algo,score,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_60k@60k
td3,0.9134790086830191,1600.0,-0.09157315120100976,8.189849188724572e-06,0.03444296568632126
tqc,0.9027758270883909,1800.0,-0.19928387477993964,6.620477674371363e-06,0.1537868373095989
dpg,0.8992199629891771,1000.0,-0.21222044676542282,0.0003568276428290992,0.14055005349218846
avg,0.8989846439999889,1000.0,-0.17593930577859282,0.18641950574098637,0.1444256897084415
sac,0.8974354701734037,2400.0,-0.24909516647458077,0.0019305435485473077,0.061869635060429584
ddpg,,,,,
ppo,,,,,
reinforce,,,,,
trpo,,,,,
