algo,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_60k@60k,abs_diff_from_60k@60k,final_score
td3,1200.0,-0.12813496477901937,1.1003801964167096e-05,0.06772537007927895,0.06772537007927895,6.0
dpg,1000.0,-0.2027367554605007,0.00014459320176399247,0.14320010505616665,0.14320010505616665,8.0
tqc,2000.0,-0.15534093901515006,2.2881498551190876e-06,0.10960936658084391,0.10960936658084391,8.0
avg,1400.0,-0.18906557094305754,0.050886263972611236,0.17372445948421955,0.17372445948421955,23.0
ddpg,2400.0,-0.13264932855963707,0.005955277366747367,0.06057090237736702,0.06057090237736702,30.0
ppo,4400.0,-0.24893290251493455,0.066225080673481,0.17651187790179393,0.17651187790179393,38.0
reinforce,,,,,,
sac,,,,,,
trpo,,,,,,
