algo,score,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_60k@60k
td3,0.8965695441938217,1200.0,-161.3863067626953,0.12246074501338228,0.25814056396484375
sac,0.894327714201549,1600.0,-162.69036407470702,0.628903519909226,-0.3400222778320483
ddpg,0.893103941632206,1600.0,-162.61635131835936,0.050166418917800853,2.0341567993164062
tqc,0.8244161522564722,18400.0,-162.6822769165039,0.013827264106524613,2.1122711181640454
dpg,0.8168852120136048,20400.0,-162.70071868896486,1.033183845588995,-2.6560577392577898
ppo,0.7732994747963101,32800.0,-162.69861907958983,20.8889991654933,-4.826435852050793
reinforce,,,,,
trpo,,,,,
