algo,score,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_60k@60k
ddpg,0.8959657261412767,1200.0,-2.487930989265442,0.004499293653261712,0.3780985474586487
td3,0.8953831787218517,1200.0,-2.6458661198616027,0.005798535312538949,0.67353755235672
tqc,0.8933338192192672,1600.0,-2.648325562477112,0.0022801837773199886,1.099509310722351
ppo,0.8714185459093255,6600.0,-2.6557124853134155,66.8288020300416,-2.945417360728607
avg,0.8708350212347848,7400.0,-2.4795436441898344,7.0659135720557975,-0.16967123486101654
dpg,0.8600287538715531,9800.0,-2.5947748184204102,0.041615841971421076,0.2418273687362671
reinforce,,,,,
sac,,,,,
trpo,,,,,
