algo,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_10k@10k,abs_diff_from_10k@10k,final_score
dpg,0.0,-43691.273828125,25.020531568908687,10.189062500001455,10.189062500001455,4.0
tqc,2000.0,-43319.416015625,1130.62316949749,105.56757812500291,105.56757812500291,9.0
ddpg,1500.0,-43689.634765625,2654873.1234609596,9.01445312499709,9.01445312499709,19.0
td3,1000.0,-43484.73125,563989.720748045,-369.8644531250029,369.8644531250029,21.0
sac,9000.0,-43611.106640625,82872.87459565734,287.13750000000437,287.13750000000437,22.0
ppo,,,,,,
reinforce,,,,,,
trpo,,,,,,
avg,,,,,,
