algo,score,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_60k@60k
ddpg,0.8991175807880272,1200.0,-0.2218655101954937,3.621157169521329e-05,0.16105133444070815
tqc,0.8961826680616705,1800.0,-0.2121334418654442,4.1923730429205975e-05,0.16568489745259285
td3,0.8914796053791484,3400.0,-0.16578691303730012,2.5425133684176855e-05,0.1097141895443201
sac,0.8867866040902891,5000.0,-0.24440283179283143,0.001756874832904771,0.057409463450312614
ppo,0.8776546720843439,5200.0,-0.2486132338643074,0.46132436262839155,-1.083232911304367
dpg,0.793831511796203,50000.0,-0.24689267612993718,0.009573583465101622,-0.0067726451903581675
reinforce,,,,,
trpo,,,,,
