algo,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_60k@60k,abs_diff_from_60k@60k,final_score
tqc,1600.0,-2.1309383869171143,0.002432338338163278,0.5835407495498659,0.5835407495498659,7.0
ddpg,1200.0,-2.307139265537262,0.005584628675011918,0.16331187486648524,0.16331187486648524,15.0
td3,1400.0,-2.273530924320221,0.004087611767473607,0.24180964231491098,0.24180964231491098,16.0
dpg,10200.0,-2.6972815990448,0.012346136637612996,0.6055500149726867,0.6055500149726867,32.0
avg,48800.0,-2.6605378195643423,361.3608424260751,-11.862434386461974,11.862434386461974,35.0
ppo,,,,,,
reinforce,,,,,,
sac,,,,,,
trpo,,,,,,
