algo,score,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_60k@60k
dpg,0.9491333435240321,1400.0,-0.1916172057390213,8.719756386635318e-05,0.009121391177177418
ddpg,0.9482190845048964,1200.0,-0.14219534806907178,9.367067459707119e-06,-0.010362892970442766
tqc,0.9211545958183787,1800.0,-0.11929255053400993,2.23237723976532e-06,0.07369512990117072
td3,0.9065898444340152,1200.0,-0.13122575134038925,1.0547710918182781e-05,0.06927823312580585
avg,0.8971834485948138,1200.0,-0.2110091578681022,0.2516416225085539,0.19599824347533287
sac,0.8920290859797473,2800.0,-0.22513492554426193,0.0017572745298928582,-0.1129517547786236
ppo,,,,,
reinforce,,,,,
trpo,,,,,
